حمل و نقل	حمل‌و‌نقل
می‌کردند	می‌کردند
می دانیم	می‌دانیم
می گرفت	می‌گرفت
می گرفتم	می‌گرفتم
می گرفتی	می‌گرفتی
می گرفتیم	می‌گرفتیم
می گرفتید	می‌گرفتید
می گرفتند	می‌گرفتند
می گیرم	می‌گیرم
می گیری	می‌گیری
می گیرد	می‌گیرد
می گیریم	می‌گیریم
می گیرید	می‌گیرید
می گیرند	می‌گیرند
می دادم	می‌دادم
می داد	می‌داد
می دادی	می‌دادی
می دادیم	می‌دادیم
می دادید	می‌دادید
می دادند	می‌دادند
می شدم	می‌شدم
می‌شدی	می‌شدی
می شد	می‌شد
می شدیم	می‌شدیم
می شدید	می‌شدید
می شدند	می‌شدند
می کشاند	می‌کشاند
می آیم	می‌آیم
می آیی	می‌آیی
می آید	می‌آید
می آییم	می‌آییم
می آیید	می‌آیید
می آیند	می‌آیند
دایم	دائم
می گذراند	می‌گذراند
می گذرانند	می‌گذرانند
می کوشند	می‌کوشند
می رسم	می‌رسم
می رسی	می‌رسی
می رسد	می‌رسد
می رسیم	می‌رسیم
می رسید	می‌رسید
می‌رسند	می‌رسند
می گذارد	می‌گذارد
می گذارم	می‌گذارم
می گذارند	می‌گذارند
می گذاشتم	می‌گذاشتم
